,created_on,message,Annotation,sentiment_12h_database,player,Annotation_converted,vader_sentiment,vader_positive,vader_negative,vader_neutral,vader_compound
66,31:17.5,The last 18 Masters winner have made the cut the year previous.,11,neutral,gary woodland,neutral,positive,0.239,0.132,0.629,0.4019
67,43:17.3,11 of the last 16 Masters winners ended that season ranked 19th or better in Par 5 Scoring Average.,11,neutral,matt kuchar,neutral,positive,0.273,0.0,0.727,0.7184
68,43:17.3,11 of the last 16 Masters winners ended that season ranked 19th or better in Par 5 Scoring Average.,11,neutral,jimmy walker,neutral,positive,0.273,0.0,0.727,0.7184
69,43:17.3,11 of the last 16 Masters winners ended that season ranked 19th or better in Par 5 Scoring Average.,11,neutral,smylie kaufman,neutral,positive,0.273,0.0,0.727,0.7184
70,43:17.3,11 of the last 16 Masters winners ended that season ranked 19th or better in Par 5 Scoring Average.,11,neutral,justin thomas,neutral,positive,0.273,0.0,0.727,0.7184
71,43:17.3,11 of the last 16 Masters winners ended that season ranked 19th or better in Par 5 Scoring Average.,11,neutral,kevin kisner,neutral,positive,0.273,0.0,0.727,0.7184
72,08:17.2,"Don't sleep on J.B. Holmes, WD is going to keep him low owned, seems like he's ok based on news. Avg finish position last 8 weeks is ~26th",1,neutral,j.b. holmes,positive,positive,0.267,0.061,0.672,0.7925
73,24:13.7,Average age of @TheMasters winners over the past decade is 32.4yo. Based on that 2016 should be Kevin's year: @K_Kisner 32.2 Kevin Na 32.6,1,neutral,kevin na,positive,positive,0.119,0.0,0.881,0.4767
74,24:13.7,Average age of @TheMasters winners over the past decade is 32.4yo. Based on that 2016 should be Kevin's year: @K_Kisner 32.2 Kevin Na 32.6,1,neutral,kevin kisner,positive,positive,0.119,0.0,0.881,0.4767
75,31:13.1,Smylie Kaufman - Top Debutant &amp; Bernd Wiesberger Top Continental European double pays 194/1 on SkyBet. Just saying.,1,positive,bernd wiesberger,positive,positive,0.194,0.0,0.806,0.3818
76,31:13.1,Smylie Kaufman - Top Debutant &amp; Bernd Wiesberger Top Continental European double pays 194/1 on SkyBet. Just saying.,1,neutral,smylie kaufman,positive,positive,0.194,0.0,0.806,0.3818
77,33:44.2,Back down at my favourite course in the world this week @RBC_Heritage! Gonna be a great week!,1,positive,matthew fitzpatrick,positive,positive,0.238,0.0,0.762,0.6892
78,35:50.2,"I don't know much but i know david lingmerth, a guy who has a win + top 5's at colonial and tpc sawgrass, should not be 150-1 in this field",1,positive,david lingmerth,positive,positive,0.243,0.0,0.757,0.8126
79,14:24.3,Fitz nearly half the price of McDowell &amp; Haas and a shade shorter than Kis on the exchange. Shorter than he went off all year on Euro. Wow.,1,positive,matthew fitzpatrick,positive,positive,0.128,0.0,0.872,0.5859
80,47:00.0,"Who are your favorite DK GPP Scrubs this week for the Heritage? I'll go Ruffels $5,800 &amp; Hicks $5,600",1,neutral,justin hicks,positive,positive,0.143,0.0,0.857,0.4588
81,47:00.0,"Who are your favorite DK GPP Scrubs this week for the Heritage? I'll go Ruffels $5,800 &amp; Hicks $5,600",1,neutral,ryan ruffels,positive,positive,0.143,0.0,0.857,0.4588
82,52:11.5,Local Guys this Week Scott Brown Bill Haas Brian Harman CH3 Kisner Ben Martin McGirt Maggert Saunders Glover Gainey Stanley,1,positive,bill haas,positive,neutral,0.0,0.0,1.0,0.0
83,52:11.5,Local Guys this Week Scott Brown Bill Haas Brian Harman CH3 Kisner Ben Martin McGirt Maggert Saunders Glover Gainey Stanley,1,neutral,scott brown,positive,neutral,0.0,0.0,1.0,0.0
84,52:11.5,Local Guys this Week Scott Brown Bill Haas Brian Harman CH3 Kisner Ben Martin McGirt Maggert Saunders Glover Gainey Stanley,1,neutral,tommy gainey,positive,neutral,0.0,0.0,1.0,0.0
85,52:11.5,Local Guys this Week Scott Brown Bill Haas Brian Harman CH3 Kisner Ben Martin McGirt Maggert Saunders Glover Gainey Stanley,1,neutral,lucas glover,positive,neutral,0.0,0.0,1.0,0.0
86,52:11.5,Local Guys this Week Scott Brown Bill Haas Brian Harman CH3 Kisner Ben Martin McGirt Maggert Saunders Glover Gainey Stanley,1,neutral,brian harman,positive,neutral,0.0,0.0,1.0,0.0
87,52:11.5,Local Guys this Week Scott Brown Bill Haas Brian Harman CH3 Kisner Ben Martin McGirt Maggert Saunders Glover Gainey Stanley,1,neutral,kyle stanley,positive,neutral,0.0,0.0,1.0,0.0
88,52:11.5,Local Guys this Week Scott Brown Bill Haas Brian Harman CH3 Kisner Ben Martin McGirt Maggert Saunders Glover Gainey Stanley,1,neutral,kevin kisner,positive,neutral,0.0,0.0,1.0,0.0
89,52:11.5,Local Guys this Week Scott Brown Bill Haas Brian Harman CH3 Kisner Ben Martin McGirt Maggert Saunders Glover Gainey Stanley,1,neutral,jeff maggert,positive,neutral,0.0,0.0,1.0,0.0
90,52:11.5,Local Guys this Week Scott Brown Bill Haas Brian Harman CH3 Kisner Ben Martin McGirt Maggert Saunders Glover Gainey Stanley,1,neutral,ben martin,positive,neutral,0.0,0.0,1.0,0.0
91,52:11.5,Local Guys this Week Scott Brown Bill Haas Brian Harman CH3 Kisner Ben Martin McGirt Maggert Saunders Glover Gainey Stanley,1,neutral,william mcgirt,positive,neutral,0.0,0.0,1.0,0.0
92,52:11.5,Local Guys this Week Scott Brown Bill Haas Brian Harman CH3 Kisner Ben Martin McGirt Maggert Saunders Glover Gainey Stanley,1,neutral,sam saunders,positive,neutral,0.0,0.0,1.0,0.0
93,52:11.5,Local Guys this Week Scott Brown Bill Haas Brian Harman CH3 Kisner Ben Martin McGirt Maggert Saunders Glover Gainey Stanley,1,neutral,charles howell,positive,neutral,0.0,0.0,1.0,0.0
94,54:36.2,Small play on Davis Love in the Herritage.,1,neutral,davis love,positive,positive,0.524,0.0,0.476,0.765
95,42:43.7,That bit where i said i was avoiding the Herritage......... Just backed Kevin Na 40/1 seven places.,1,neutral,kevin na,positive,negative,0.067,0.145,0.788,-0.3182
96,55:23.1,Last 5 winners at RBC av rank of 22.4 in scrambling for yr of win Top 5 from last 3 years at RBC av rank of 29th in scrambling (yr of also),11,neutral,k.j. choi,neutral,positive,0.219,0.176,0.605,0.1779
97,55:23.1,Last 5 winners at RBC av rank of 22.4 in scrambling for yr of win Top 5 from last 3 years at RBC av rank of 29th in scrambling (yr of also),11,positive,jerry kelly,neutral,positive,0.219,0.176,0.605,0.1779
98,55:23.1,Last 5 winners at RBC av rank of 22.4 in scrambling for yr of win Top 5 from last 3 years at RBC av rank of 29th in scrambling (yr of also),11,positive,luke donald,neutral,positive,0.219,0.176,0.605,0.1779
99,55:23.1,Last 5 winners at RBC av rank of 22.4 in scrambling for yr of win Top 5 from last 3 years at RBC av rank of 29th in scrambling (yr of also),11,neutral,sean o'hair,neutral,positive,0.219,0.176,0.605,0.1779
100,55:23.1,Last 5 winners at RBC av rank of 22.4 in scrambling for yr of win Top 5 from last 3 years at RBC av rank of 29th in scrambling (yr of also),11,neutral,chez reavie,neutral,positive,0.219,0.176,0.605,0.1779
101,55:23.1,Last 5 winners at RBC av rank of 22.4 in scrambling for yr of win Top 5 from last 3 years at RBC av rank of 29th in scrambling (yr of also),11,neutral,jamie lovemark,neutral,positive,0.219,0.176,0.605,0.1779
102,56:54.8,The RBC Heritage has been won by a player aged 40 and above six times,11,neutral,davis love,neutral,positive,0.222,0.0,0.778,0.5719
103,56:54.8,The RBC Heritage has been won by a player aged 40 and above six times,11,neutral,ernie els,neutral,positive,0.222,0.0,0.778,0.5719
104,56:54.8,The RBC Heritage has been won by a player aged 40 and above six times,11,neutral,stewart cink,neutral,positive,0.222,0.0,0.778,0.5719
105,56:54.8,The RBC Heritage has been won by a player aged 40 and above six times,11,neutral,k.j. choi,neutral,positive,0.222,0.0,0.778,0.5719
106,56:54.8,The RBC Heritage has been won by a player aged 40 and above six times,11,neutral,matt kuchar,neutral,positive,0.222,0.0,0.778,0.5719
107,37:41.0,Backed @MattFitz94 at 33/1 to win @RBC_Heritage. Fitzpatrick led the greens in reg stats at Augusta and says this is his favourite course,1,neutral,matthew fitzpatrick,positive,positive,0.189,0.0,0.811,0.5994
108,40:22.8,Gone with @BrandenGrace at 45/1 in the @RBC_Heritage. Spoke positively about the work he did after Masters missed cut. Seventh on debut here,1,neutral,branden grace,positive,negative,0.117,0.193,0.69,-0.296
109,47:36.1,The best thing about this week is it's still likely Day doesn't win. Faders can think they are right and make same egregious error again.,111,neutral,jason day,negative,negative,0.119,0.286,0.595,-0.707
110,52:03.0,Last year Bill Haas ranked 73rd in Accuracy &amp; hasn’t been better than 56th (2012) in any season. Except this year: 25th (68%),111,neutral,bill haas,negative,positive,0.116,0.0,0.884,0.4404
111,05:36.0,Selections for the #RBCHeritage 2pts e/w P Casey 18/1 1.5pts e/w K Kisner 30/1 0.5pts e/w S O'Hair 80/1 Full preview is still available,1,neutral,paul casey,positive,neutral,0.0,0.0,1.0,0.0
112,05:36.0,Selections for the #RBCHeritage 2pts e/w P Casey 18/1 1.5pts e/w K Kisner 30/1 0.5pts e/w S O'Hair 80/1 Full preview is still available,1,neutral,sean o'hair,positive,neutral,0.0,0.0,1.0,0.0
113,05:36.0,Selections for the #RBCHeritage 2pts e/w P Casey 18/1 1.5pts e/w K Kisner 30/1 0.5pts e/w S O'Hair 80/1 Full preview is still available,1,neutral,kevin kisner,positive,neutral,0.0,0.0,1.0,0.0
114,38:44.7,Looking for Patrick Reed's putter to heat up any day now. Currently sits 151st in SG Putting. Never worse than 51st any of the last 3 years.,1,neutral,patrick reed,positive,positive,0.102,0.0,0.898,0.431
115,54:37.6,"Luke List 125/1 - 11th Driving Distance, 38th SG Tee to Green, 31st P5 Scoring. Made 5 of last 6 cuts with 4 finishes of T27 or better.",1,neutral,luke list,positive,positive,0.107,0.081,0.812,0.1779
116,25:09.7,Backed Daniel Summerhays at 129/1 in the @valerotxopen. Summerhays has 3 consecutive top tens at the course so has plenty of positive vibes,1,positive,daniel summerhays,positive,positive,0.255,0.0,0.745,0.6705
117,31:28.9,"What's wit the Daniel Summerhays magic at The Valero? 15 Top 10s in his career, three of them here in the last three years.",1,positive,daniel summerhays,positive,positive,0.073,0.0,0.927,0.2023
118,39:24.3,"Russell Henley 50/1 - 41st Driving Distance, 9th P4 Scoring, 6th SG Putting. T23 at Harbour Town &amp; T5 in Houston. 2 wins on Bermuda greens.",1,neutral,russell henley,positive,positive,0.139,0.0,0.861,0.5719
119,13:35.4,"@ThePME matt jones, swafford, stefani",1,neutral,shawn stefani,positive,neutral,0.0,0.0,1.0,0.0
120,13:35.4,"@ThePME matt jones, swafford, stefani",1,neutral,matt jones,positive,neutral,0.0,0.0,1.0,0.0
121,13:35.4,"@ThePME matt jones, swafford, stefani",1,neutral,hudson swafford,positive,neutral,0.0,0.0,1.0,0.0
122,24:29.5,Latest field ▲ at the @valerotxopen: OUT Retief Goosen IN @GregChalmersPGA (alternate),11,neutral,retief goosen,neutral,neutral,0.0,0.0,1.0,0.0
123,24:29.5,Latest field ▲ at the @valerotxopen: OUT Retief Goosen IN @GregChalmersPGA (alternate),11,neutral,greg chalmers,neutral,neutral,0.0,0.0,1.0,0.0
124,23:14.5,Happy Aaron Baddeley in cash games week!,1,positive,aaron baddeley,positive,positive,0.4,0.0,0.6,0.6114
125,04:20.9,Betting Koepka (22-25) and Rodgers (100-115) this week.,1,positive,patrick rodgers,positive,positive,0.375,0.0,0.625,0.6369
126,04:20.9,Betting Koepka (22-25) and Rodgers (100-115) this week.,1,positive,brooks koepka,positive,positive,0.375,0.0,0.625,0.6369
127,06:48.1,"Valero Texas Open field changes ... Out - R Allenby, R Goosen, C Knost In - G Chalmers, T Purdy, S Flesch",11,neutral,robert allenby,neutral,neutral,0.0,0.0,1.0,0.0
128,06:48.1,"Valero Texas Open field changes ... Out - R Allenby, R Goosen, C Knost In - G Chalmers, T Purdy, S Flesch",11,neutral,colt knost,neutral,neutral,0.0,0.0,1.0,0.0
129,06:48.1,"Valero Texas Open field changes ... Out - R Allenby, R Goosen, C Knost In - G Chalmers, T Purdy, S Flesch",11,neutral,retief goosen,neutral,neutral,0.0,0.0,1.0,0.0
130,53:05.0,Won't have time for as much content this week for PGA but obv betting ohair at 100-1 since I just did at 67-1 two weeks ago on dye course,1,neutral,sean o'hair,positive,positive,0.177,0.0,0.823,0.7783
131,58:48.1,Gone with @pkizzire at 64/1 in the @Zurich_Classic. Kizzire has been one of the best putters this season and is threatening a maiden win,1,neutral,patton kizzire,positive,positive,0.254,0.111,0.635,0.6705
132,05:45.8,Backed @SmylieKaufman10 at 41/1 in the @Zurich_Classic. Really impressive debut at the Masters and low scoring week should suit Kaufman,1,positive,smylie kaufman,positive,positive,0.197,0.088,0.714,0.3804
133,47:47.8,Lo and behold... Rose produced his best putting performance of the season to date to win. So my hunt is for a ball-striker elite.,1,positive,rickie fowler,positive,positive,0.276,0.0,0.724,0.8402
134,47:47.8,Lo and behold... Rose produced his best putting performance of the season to date to win. So my hunt is for a ball-striker elite.,1,positive,justin rose,positive,positive,0.276,0.0,0.724,0.8402
135,52:42.0,"Way too early research, but think this could be the week Byeong-Hun An breaks through and wins in the States. #ZurichClassic",1,neutral,byeong hun,positive,positive,0.175,0.165,0.66,0.0772
136,12:38.7,"Luke List 100/1 - made 6 of last 7 cuts with 5 top 30's. Top 50 in SG Tee to Green, Prox 200+, P5 Scoring and Scrambling. T31 here in 2013.",1,positive,luke list,positive,negative,0.111,0.176,0.712,-0.4767
137,17:52.7,8 of the 10 winners at TPC Louisiana ended that season ranked 47th or better in Proximity from 200+ yards.,11,neutral,billy hurley,neutral,positive,0.261,0.0,0.739,0.7184
138,17:52.7,8 of the 10 winners at TPC Louisiana ended that season ranked 47th or better in Proximity from 200+ yards.,11,positive,jason gore,neutral,positive,0.261,0.0,0.739,0.7184
139,17:52.7,8 of the 10 winners at TPC Louisiana ended that season ranked 47th or better in Proximity from 200+ yards.,11,positive,k.j. choi,neutral,positive,0.261,0.0,0.739,0.7184
140,07:15.9,"Daniel Berger ($10,100) has three straight top-12 or better finishes plus the second lowest Recent Adj. Round Score (67.1) in Zurich field.",1,positive,daniel berger,positive,positive,0.182,0.098,0.72,0.296
141,13:55.8,@JDayGolf in the field @Zurich_Classic this week. Last time a player ranked No. 1 competed here was 1999 when @david59duval shot 70-74 to MC,1,negative,jason day,positive,negative,0.0,0.095,0.905,-0.296
