Unnamed: 0,created_on,message,Annotation,sentiment_12h_database,player,Annotation_converted
12,41:12.0,"Since making debut @attproam in 2008, Dustin Johnson is a combined 73 under par - 25 better than anyone else in that span (2nd: Day, -43).",1,neutral,dustin johnson,positive
13,00:41.0,"Matt Every $6,600 has withdrawn from the tournament. Get him out of your lineups.",111,negative,matt every,negative
14,54:24.2,"Keep an eye on Steve Marino this week. Played South Florida mini tours for years, making cuts, and only $5900 on DK.",1,positive,steve marino,positive
15,41:01.7,A notable field ▲ at @TheHondaClassic: OUT @webbsimpson1 IN @Dawie1983 (alternate),111,negative,webb simpson,negative
16,43:21.0,"Like chances of @Ben_Martin87 at 189/1 in the #HondaClassic. Martin finished nicely last week, has form in Florida and shot 65 here in 2015",1,positive,ben martin,positive
17,00:31.2,I think we've figured out that Smylie Kaufman will be the highest owned guy below 7000,1,positive,smylie kaufman,positive
18,49:21.8,#BlueMonster Low rounds (since 2014 redo): Holmes: 62/R1 ('15) Haas: 65/R3 ('15) Moore: 66/R1 ('15) Woods: 66/R3 ('14) Blixt: 66/R4 ('14),1,positive,bill haas,positive
19,49:21.8,#BlueMonster Low rounds (since 2014 redo): Holmes: 62/R1 ('15) Haas: 65/R3 ('15) Moore: 66/R1 ('15) Woods: 66/R3 ('14) Blixt: 66/R4 ('14),1,neutral,jonas blixt,positive
20,49:21.8,#BlueMonster Low rounds (since 2014 redo): Holmes: 62/R1 ('15) Haas: 65/R3 ('15) Moore: 66/R1 ('15) Woods: 66/R3 ('14) Blixt: 66/R4 ('14),1,neutral,ryan moore,positive
21,49:21.8,#BlueMonster Low rounds (since 2014 redo): Holmes: 62/R1 ('15) Haas: 65/R3 ('15) Moore: 66/R1 ('15) Woods: 66/R3 ('14) Blixt: 66/R4 ('14),1,positive,j.b. holmes,positive
22,06:15.7,@ThePME @DraftKings I'm leaning Haas. The contrarian of all contrarian picks,1,positive,bill haas,positive
23,49:12.0,"Willett's wife due Masters week: ""If he fancies coming out early on, it would be great. If not, I won't be playing""",111,negative,danny willett,negative
24,54:57.0,Doral has 5 Par 4s from 425-450. @JDayGolf ranks 1st in field in scoring at that gap (-.13) @JBHolmesgolf ranks 1st in SGT2G 425-440 (.084),1,positive,jason day,positive
25,54:57.0,Doral has 5 Par 4s from 425-450. @JDayGolf ranks 1st in field in scoring at that gap (-.13) @JBHolmesgolf ranks 1st in SGT2G 425-440 (.084),1,positive,j.b. holmes,positive
26,11:08.3,"VALSPAR DK POLL: Favorite Player $7K-$8K Favorite Plater Sub-$7K I’ll go John Huh ($7,700) &amp; Morgan Hoffmann ($6,100)",1,positive,john huh,positive
27,11:08.3,"VALSPAR DK POLL: Favorite Player $7K-$8K Favorite Plater Sub-$7K I’ll go John Huh ($7,700) &amp; Morgan Hoffmann ($6,100)",1,positive,morgan hoffmann,positive
28,16:36.7,@ThePME sung Kang ($7700) &amp; Mark Hubbard ($5700),11,neutral,sung hoon,neutral
29,16:36.7,@ThePME sung Kang ($7700) &amp; Mark Hubbard ($5700),11,neutral,mark hubbard,neutral
30,38:20.2,"Brett Stegmaier 200/1. T18 at Valspar, T21 at Honda. T2 at at the Shiners in the Fall. 25th in Prox 200+. &amp; 51st in P4 Scoring. Went to UF 🐊",1,neutral,brett stegmaier,positive
31,58:22.7,Best score to par at @APinv since 2012 @henrikstenson -36 Matt Every -32 Tiger Woods -26 K. Bradley -24 K. Na -23,1,neutral,henrik stenson,positive
32,58:22.7,Best score to par at @APinv since 2012 @henrikstenson -36 Matt Every -32 Tiger Woods -26 K. Bradley -24 K. Na -23,1,neutral,matt every,positive
33,58:22.7,Best score to par at @APinv since 2012 @henrikstenson -36 Matt Every -32 Tiger Woods -26 K. Bradley -24 K. Na -23,1,positive,keegan bradley,positive
34,03:20.5,"Looking for a sleeper pick for @APinv? Try @ZachJohnsonPGA. Played last 12 years here, 1 MC, 5 finishes of T-11 or better",1,positive,zach johnson,positive
35,47:25.8,Tony Finau averaging 1.6 birdies per round over his last 8 competitive rounds....😨,111,negative,tony finau,negative
36,22:27.4,@Wheells59 @FGMetrics I'll be fading him. Will probably throw him in 1 lineup for fun. Would be cool to see a guy like that win 3 straight,111,neutral,matt every,negative
37,24:00.6,"@ThePME @DraftKings Would Moore be considered a popular pick? Kuchar too. Moore and Kuch, gotta go.",111,positive,ryan moore,negative
38,24:00.6,"@ThePME @DraftKings Would Moore be considered a popular pick? Kuchar too. Moore and Kuch, gotta go.",111,neutral,matt kuchar,negative
39,03:59.5,"Who are everyone’s fav Sub 7K sleepers on DK for the Puerto Rico Open? I’ll be sampling some Dawie van der Walt at $6,300",1,positive,brice garnett,positive
40,19:29.8,"Of course, don’t overlook South African Dean Burmeister either. No. 88 in the World Ranks Recent Form (On lesser Tours): 3/2/2/4",1,positive,david toms,positive
41,41:56.3,"After a cross reference of the numbers Jerry Kelly checks three of the four boxes, as does David Toms. Jonathan Byrd also rates highly",1,positive,jonathan byrd,positive
42,54:31.7,"Will MacKenzie 66/1. 36 hole leader in Tampa. Since '14, T14 or better at Sea Island, Pebble, Puerto Rico, Honda, Valspar, twice at Mayakoba",1,neutral,will mackenzie,positive
43,04:47.8,"The leader in par 4 scoring at the SHO has won three out of the last four years. So, if you're looking for a winner...",1,neutral,vaughn taylor,positive
44,04:47.8,"The leader in par 4 scoring at the SHO has won three out of the last four years. So, if you're looking for a winner...",1,positive,brooks koepka,positive
45,04:47.8,"The leader in par 4 scoring at the SHO has won three out of the last four years. So, if you're looking for a winner...",1,positive,jordan spieth,positive
46,07:36.3,Patton Kizzire 100/1. Hasn't missed a cut since the Sony. Made it out of the group stage at the Match Play. 6th in SGP &amp; 36th in P5 Scoring.,1,positive,patton kizzire,positive
47,09:17.6,Backed @russhenleygolf at 129/1 in the @ShellHouOpen. Out of form currently but big talent whose finished inside top 7 here in last 2 years,1,positive,russell henley,positive
48,12:12.9,Gone with @CamTringalePGA at 119/1 in the @ShellHouOpen. Still waiting for 1st win but it could be his best chance. Three top 10s since 2012,1,positive,cameron tringale,positive
49,26:48.0,"Sean OHair at 150-1? top 40 distance top 15 strokes gained putting, no idea why a book would have him higher than guys like campbell/jaidee",1,neutral,sean o'hair,positive
50,40:08.7,"First field ▲s at the @ShellHouOpen, part 2 of 2: IN (* = top 10 at PRO) Campos* Cazaubon* Gay (late) Guthrie (sponsor) Marino* Romero*",11,neutral,andres romero,neutral
51,40:08.7,"First field ▲s at the @ShellHouOpen, part 2 of 2: IN (* = top 10 at PRO) Campos* Cazaubon* Gay (late) Guthrie (sponsor) Marino* Romero*",11,neutral,steve marino,neutral
52,40:08.7,"First field ▲s at the @ShellHouOpen, part 2 of 2: IN (* = top 10 at PRO) Campos* Cazaubon* Gay (late) Guthrie (sponsor) Marino* Romero*",11,neutral,luke guthrie,neutral
53,40:08.7,"First field ▲s at the @ShellHouOpen, part 2 of 2: IN (* = top 10 at PRO) Campos* Cazaubon* Gay (late) Guthrie (sponsor) Marino* Romero*",11,neutral,brian gay,neutral
54,40:08.7,"First field ▲s at the @ShellHouOpen, part 2 of 2: IN (* = top 10 at PRO) Campos* Cazaubon* Gay (late) Guthrie (sponsor) Marino* Romero*",11,neutral,rodolfo cazaubon,neutral
55,40:08.7,"First field ▲s at the @ShellHouOpen, part 2 of 2: IN (* = top 10 at PRO) Campos* Cazaubon* Gay (late) Guthrie (sponsor) Marino* Romero*",11,neutral,rafael campos,neutral
56,18:30.8,Backed Phil Mickelson at 21/1 in the #ShellHoustonOpen. Lefty's playing really well this season and the 2011 champion can go close this week,1,neutral,phil mickelson,positive
57,30:56.0,Favorite Sub $6500 players on DK this week? I'm digging Vijay and Vaughn,1,neutral,vaughn taylor,positive
58,30:56.0,Favorite Sub $6500 players on DK this week? I'm digging Vijay and Vaughn,1,neutral,vijay singh,positive
59,44:39.8,Latest field ▲ at the @ShellHouOpen: OUT @BronsonBurgoon IN Sung Kang (alternate),11,neutral,sung hoon,neutral
60,44:39.8,Latest field ▲ at the @ShellHouOpen: OUT @BronsonBurgoon IN Sung Kang (alternate),11,neutral,bronson burgoon,neutral
61,31:17.5,The last 18 Masters winner have made the cut the year previous.,11,neutral,luke donald,neutral
62,31:17.5,The last 18 Masters winner have made the cut the year previous.,11,neutral,branden grace,neutral
63,31:17.5,The last 18 Masters winner have made the cut the year previous.,11,neutral,brandt snedeker,neutral
64,31:17.5,The last 18 Masters winner have made the cut the year previous.,11,neutral,shane lowry,neutral
65,31:17.5,The last 18 Masters winner have made the cut the year previous.,11,neutral,james hahn,neutral
66,31:17.5,The last 18 Masters winner have made the cut the year previous.,11,neutral,gary woodland,neutral
67,43:17.3,11 of the last 16 Masters winners ended that season ranked 19th or better in Par 5 Scoring Average.,11,neutral,matt kuchar,neutral
68,43:17.3,11 of the last 16 Masters winners ended that season ranked 19th or better in Par 5 Scoring Average.,11,neutral,jimmy walker,neutral
69,43:17.3,11 of the last 16 Masters winners ended that season ranked 19th or better in Par 5 Scoring Average.,11,neutral,smylie kaufman,neutral
70,43:17.3,11 of the last 16 Masters winners ended that season ranked 19th or better in Par 5 Scoring Average.,11,neutral,justin thomas,neutral
71,43:17.3,11 of the last 16 Masters winners ended that season ranked 19th or better in Par 5 Scoring Average.,11,neutral,kevin kisner,neutral
72,08:17.2,"Don't sleep on J.B. Holmes, WD is going to keep him low owned, seems like he's ok based on news. Avg finish position last 8 weeks is ~26th",1,neutral,j.b. holmes,positive
73,24:13.7,Average age of @TheMasters winners over the past decade is 32.4yo. Based on that 2016 should be Kevin's year: @K_Kisner 32.2 Kevin Na 32.6,1,neutral,kevin na,positive
74,24:13.7,Average age of @TheMasters winners over the past decade is 32.4yo. Based on that 2016 should be Kevin's year: @K_Kisner 32.2 Kevin Na 32.6,1,neutral,kevin kisner,positive
75,31:13.1,Smylie Kaufman - Top Debutant &amp; Bernd Wiesberger Top Continental European double pays 194/1 on SkyBet. Just saying.,1,positive,bernd wiesberger,positive
76,31:13.1,Smylie Kaufman - Top Debutant &amp; Bernd Wiesberger Top Continental European double pays 194/1 on SkyBet. Just saying.,1,neutral,smylie kaufman,positive
77,33:44.2,Back down at my favourite course in the world this week @RBC_Heritage! Gonna be a great week!,1,positive,matthew fitzpatrick,positive
78,35:50.2,"I don't know much but i know david lingmerth, a guy who has a win + top 5's at colonial and tpc sawgrass, should not be 150-1 in this field",1,positive,david lingmerth,positive
79,14:24.3,Fitz nearly half the price of McDowell &amp; Haas and a shade shorter than Kis on the exchange. Shorter than he went off all year on Euro. Wow.,1,positive,matthew fitzpatrick,positive
80,47:00.0,"Who are your favorite DK GPP Scrubs this week for the Heritage? I'll go Ruffels $5,800 &amp; Hicks $5,600",1,neutral,justin hicks,positive
81,47:00.0,"Who are your favorite DK GPP Scrubs this week for the Heritage? I'll go Ruffels $5,800 &amp; Hicks $5,600",1,neutral,ryan ruffels,positive
82,52:11.5,Local Guys this Week Scott Brown Bill Haas Brian Harman CH3 Kisner Ben Martin McGirt Maggert Saunders Glover Gainey Stanley,1,positive,bill haas,positive
83,52:11.5,Local Guys this Week Scott Brown Bill Haas Brian Harman CH3 Kisner Ben Martin McGirt Maggert Saunders Glover Gainey Stanley,1,neutral,scott brown,positive
84,52:11.5,Local Guys this Week Scott Brown Bill Haas Brian Harman CH3 Kisner Ben Martin McGirt Maggert Saunders Glover Gainey Stanley,1,neutral,tommy gainey,positive
85,52:11.5,Local Guys this Week Scott Brown Bill Haas Brian Harman CH3 Kisner Ben Martin McGirt Maggert Saunders Glover Gainey Stanley,1,neutral,lucas glover,positive
86,52:11.5,Local Guys this Week Scott Brown Bill Haas Brian Harman CH3 Kisner Ben Martin McGirt Maggert Saunders Glover Gainey Stanley,1,neutral,brian harman,positive
87,52:11.5,Local Guys this Week Scott Brown Bill Haas Brian Harman CH3 Kisner Ben Martin McGirt Maggert Saunders Glover Gainey Stanley,1,neutral,kyle stanley,positive
88,52:11.5,Local Guys this Week Scott Brown Bill Haas Brian Harman CH3 Kisner Ben Martin McGirt Maggert Saunders Glover Gainey Stanley,1,neutral,kevin kisner,positive
89,52:11.5,Local Guys this Week Scott Brown Bill Haas Brian Harman CH3 Kisner Ben Martin McGirt Maggert Saunders Glover Gainey Stanley,1,neutral,jeff maggert,positive
90,52:11.5,Local Guys this Week Scott Brown Bill Haas Brian Harman CH3 Kisner Ben Martin McGirt Maggert Saunders Glover Gainey Stanley,1,neutral,ben martin,positive
91,52:11.5,Local Guys this Week Scott Brown Bill Haas Brian Harman CH3 Kisner Ben Martin McGirt Maggert Saunders Glover Gainey Stanley,1,neutral,william mcgirt,positive
92,52:11.5,Local Guys this Week Scott Brown Bill Haas Brian Harman CH3 Kisner Ben Martin McGirt Maggert Saunders Glover Gainey Stanley,1,neutral,sam saunders,positive
93,52:11.5,Local Guys this Week Scott Brown Bill Haas Brian Harman CH3 Kisner Ben Martin McGirt Maggert Saunders Glover Gainey Stanley,1,neutral,charles howell,positive
94,54:36.2,Small play on Davis Love in the Herritage.,1,neutral,davis love,positive
95,42:43.7,That bit where i said i was avoiding the Herritage......... Just backed Kevin Na 40/1 seven places.,1,neutral,kevin na,positive
96,55:23.1,Last 5 winners at RBC av rank of 22.4 in scrambling for yr of win Top 5 from last 3 years at RBC av rank of 29th in scrambling (yr of also),11,neutral,k.j. choi,neutral
97,55:23.1,Last 5 winners at RBC av rank of 22.4 in scrambling for yr of win Top 5 from last 3 years at RBC av rank of 29th in scrambling (yr of also),11,positive,jerry kelly,neutral
98,55:23.1,Last 5 winners at RBC av rank of 22.4 in scrambling for yr of win Top 5 from last 3 years at RBC av rank of 29th in scrambling (yr of also),11,positive,luke donald,neutral
99,55:23.1,Last 5 winners at RBC av rank of 22.4 in scrambling for yr of win Top 5 from last 3 years at RBC av rank of 29th in scrambling (yr of also),11,neutral,sean o'hair,neutral
100,55:23.1,Last 5 winners at RBC av rank of 22.4 in scrambling for yr of win Top 5 from last 3 years at RBC av rank of 29th in scrambling (yr of also),11,neutral,chez reavie,neutral
101,55:23.1,Last 5 winners at RBC av rank of 22.4 in scrambling for yr of win Top 5 from last 3 years at RBC av rank of 29th in scrambling (yr of also),11,neutral,jamie lovemark,neutral
102,56:54.8,The RBC Heritage has been won by a player aged 40 and above six times,11,neutral,davis love,neutral
103,56:54.8,The RBC Heritage has been won by a player aged 40 and above six times,11,neutral,ernie els,neutral
104,56:54.8,The RBC Heritage has been won by a player aged 40 and above six times,11,neutral,stewart cink,neutral
105,56:54.8,The RBC Heritage has been won by a player aged 40 and above six times,11,neutral,k.j. choi,neutral
106,56:54.8,The RBC Heritage has been won by a player aged 40 and above six times,11,neutral,matt kuchar,neutral
107,37:41.0,Backed @MattFitz94 at 33/1 to win @RBC_Heritage. Fitzpatrick led the greens in reg stats at Augusta and says this is his favourite course,1,neutral,matthew fitzpatrick,positive
108,40:22.8,Gone with @BrandenGrace at 45/1 in the @RBC_Heritage. Spoke positively about the work he did after Masters missed cut. Seventh on debut here,1,neutral,branden grace,positive
109,47:36.1,The best thing about this week is it's still likely Day doesn't win. Faders can think they are right and make same egregious error again.,111,neutral,jason day,negative
110,52:03.0,Last year Bill Haas ranked 73rd in Accuracy &amp; hasn’t been better than 56th (2012) in any season. Except this year: 25th (68%),111,neutral,bill haas,negative
111,05:36.0,Selections for the #RBCHeritage 2pts e/w P Casey 18/1 1.5pts e/w K Kisner 30/1 0.5pts e/w S O'Hair 80/1 Full preview is still available,1,neutral,paul casey,positive
112,05:36.0,Selections for the #RBCHeritage 2pts e/w P Casey 18/1 1.5pts e/w K Kisner 30/1 0.5pts e/w S O'Hair 80/1 Full preview is still available,1,neutral,sean o'hair,positive
113,05:36.0,Selections for the #RBCHeritage 2pts e/w P Casey 18/1 1.5pts e/w K Kisner 30/1 0.5pts e/w S O'Hair 80/1 Full preview is still available,1,neutral,kevin kisner,positive
114,38:44.7,Looking for Patrick Reed's putter to heat up any day now. Currently sits 151st in SG Putting. Never worse than 51st any of the last 3 years.,1,neutral,patrick reed,positive
115,54:37.6,"Luke List 125/1 - 11th Driving Distance, 38th SG Tee to Green, 31st P5 Scoring. Made 5 of last 6 cuts with 4 finishes of T27 or better.",1,neutral,luke list,positive
116,25:09.7,Backed Daniel Summerhays at 129/1 in the @valerotxopen. Summerhays has 3 consecutive top tens at the course so has plenty of positive vibes,1,positive,daniel summerhays,positive
117,31:28.9,"What's wit the Daniel Summerhays magic at The Valero? 15 Top 10s in his career, three of them here in the last three years.",1,positive,daniel summerhays,positive
118,39:24.3,"Russell Henley 50/1 - 41st Driving Distance, 9th P4 Scoring, 6th SG Putting. T23 at Harbour Town &amp; T5 in Houston. 2 wins on Bermuda greens.",1,neutral,russell henley,positive
119,13:35.4,"@ThePME matt jones, swafford, stefani",1,neutral,shawn stefani,positive
120,13:35.4,"@ThePME matt jones, swafford, stefani",1,neutral,matt jones,positive
121,13:35.4,"@ThePME matt jones, swafford, stefani",1,neutral,hudson swafford,positive
122,24:29.5,Latest field ▲ at the @valerotxopen: OUT Retief Goosen IN @GregChalmersPGA (alternate),11,neutral,retief goosen,neutral
123,24:29.5,Latest field ▲ at the @valerotxopen: OUT Retief Goosen IN @GregChalmersPGA (alternate),11,neutral,greg chalmers,neutral
124,23:14.5,Happy Aaron Baddeley in cash games week!,1,positive,aaron baddeley,positive
125,04:20.9,Betting Koepka (22-25) and Rodgers (100-115) this week.,1,positive,patrick rodgers,positive
126,04:20.9,Betting Koepka (22-25) and Rodgers (100-115) this week.,1,positive,brooks koepka,positive
127,06:48.1,"Valero Texas Open field changes ... Out - R Allenby, R Goosen, C Knost In - G Chalmers, T Purdy, S Flesch",11,neutral,robert allenby,neutral
128,06:48.1,"Valero Texas Open field changes ... Out - R Allenby, R Goosen, C Knost In - G Chalmers, T Purdy, S Flesch",11,neutral,colt knost,neutral
129,06:48.1,"Valero Texas Open field changes ... Out - R Allenby, R Goosen, C Knost In - G Chalmers, T Purdy, S Flesch",11,neutral,retief goosen,neutral
130,53:05.0,Won't have time for as much content this week for PGA but obv betting ohair at 100-1 since I just did at 67-1 two weeks ago on dye course,1,neutral,sean o'hair,positive
131,58:48.1,Gone with @pkizzire at 64/1 in the @Zurich_Classic. Kizzire has been one of the best putters this season and is threatening a maiden win,1,neutral,patton kizzire,positive
132,05:45.8,Backed @SmylieKaufman10 at 41/1 in the @Zurich_Classic. Really impressive debut at the Masters and low scoring week should suit Kaufman,1,positive,smylie kaufman,positive
133,47:47.8,Lo and behold... Rose produced his best putting performance of the season to date to win. So my hunt is for a ball-striker elite.,1,positive,rickie fowler,positive
134,47:47.8,Lo and behold... Rose produced his best putting performance of the season to date to win. So my hunt is for a ball-striker elite.,1,positive,justin rose,positive
135,52:42.0,"Way too early research, but think this could be the week Byeong-Hun An breaks through and wins in the States. #ZurichClassic",1,neutral,byeong hun,positive
136,12:38.7,"Luke List 100/1 - made 6 of last 7 cuts with 5 top 30's. Top 50 in SG Tee to Green, Prox 200+, P5 Scoring and Scrambling. T31 here in 2013.",1,positive,luke list,positive
137,17:52.7,8 of the 10 winners at TPC Louisiana ended that season ranked 47th or better in Proximity from 200+ yards.,11,neutral,billy hurley,neutral
138,17:52.7,8 of the 10 winners at TPC Louisiana ended that season ranked 47th or better in Proximity from 200+ yards.,11,positive,jason gore,neutral
139,17:52.7,8 of the 10 winners at TPC Louisiana ended that season ranked 47th or better in Proximity from 200+ yards.,11,positive,k.j. choi,neutral
140,07:15.9,"Daniel Berger ($10,100) has three straight top-12 or better finishes plus the second lowest Recent Adj. Round Score (67.1) in Zurich field.",1,positive,daniel berger,positive
141,13:55.8,@JDayGolf in the field @Zurich_Classic this week. Last time a player ranked No. 1 competed here was 1999 when @david59duval shot 70-74 to MC,1,negative,jason day,positive
142,56:46.0,@Daj5mg who would you take in OAD this week,1,neutral,daniel berger,positive
143,56:46.0,@Daj5mg who would you take in OAD this week,1,neutral,billy horschel,positive
144,26:08.9,@Daj5mg So who are the GPP punt plays.,1,neutral,keegan bradley,positive
145,26:08.9,@Daj5mg So who are the GPP punt plays.,1,neutral,scott stallings,positive
146,26:08.9,@Daj5mg So who are the GPP punt plays.,1,neutral,will wilcox,positive
147,52:55.7,Great laying opportunity on Betfair for McIlroy at 5.6. Stan James going 5/1 which is still a bit short #WellsFargoChamp,1,positive,rory mcilroy,positive
148,54:27.3,"Obviously a step up in class but Lovemark at 66/1 seems generous. 2nd in P4 Efficiency 450-500. 4th P5 Scoring. Mega long, solid short game.",1,positive,jamie lovemark,positive
149,55:47.9,He's got a winning chance obviously but McIlroy is a baaaad price this week #WellsFargoChamp,1,positive,rory mcilroy,positive
150,59:02.4,"R&amp;FO - Chapman - Quail - 4 win McIlroy, 1ew R Fowler, 1ew Grace, 1ew Moore 1ew Mickelson - no prices up yet, and Grace is a non-starter",1,neutral,ryan moore,positive
151,59:02.4,"R&amp;FO - Chapman - Quail - 4 win McIlroy, 1ew R Fowler, 1ew Grace, 1ew Moore 1ew Mickelson - no prices up yet, and Grace is a non-starter",1,positive,phil mickelson,positive
152,59:02.4,"R&amp;FO - Chapman - Quail - 4 win McIlroy, 1ew R Fowler, 1ew Grace, 1ew Moore 1ew Mickelson - no prices up yet, and Grace is a non-starter",1,positive,rory mcilroy,positive
153,59:02.4,"R&amp;FO - Chapman - Quail - 4 win McIlroy, 1ew R Fowler, 1ew Grace, 1ew Moore 1ew Mickelson - no prices up yet, and Grace is a non-starter",111,neutral,branden grace,negative
154,59:02.4,"R&amp;FO - Chapman - Quail - 4 win McIlroy, 1ew R Fowler, 1ew Grace, 1ew Moore 1ew Mickelson - no prices up yet, and Grace is a non-starter",1,positive,rickie fowler,positive
155,04:50.5,McIlroy played Quail Hollow’s 16 par fives this week in 13-under-par in 2015.,11,positive,rory mcilroy,neutral
156,49:16.1,"Racing Post Selections - Steve Palmer - Wells Fargo - 4pts win McIlroy 9/2, 2ew Matsuyama 25/1, 1ew Chappell 45/1",1,neutral,rory mcilroy,positive
157,49:16.1,"Racing Post Selections - Steve Palmer - Wells Fargo - 4pts win McIlroy 9/2, 2ew Matsuyama 25/1, 1ew Chappell 45/1",1,positive,kevin chappell,positive
158,49:16.1,"Racing Post Selections - Steve Palmer - Wells Fargo - 4pts win McIlroy 9/2, 2ew Matsuyama 25/1, 1ew Chappell 45/1",1,neutral,hideki matsuyama,positive
159,31:24.8,Selections for the #WellsFargoChamp 4 pts win R McIllroy 9/2 1.5pts e/w H Matsuyama 25/1 1pt e/w K Chappell 50/1 Preview available by email,1,neutral,hideki matsuyama,positive
160,31:24.8,Selections for the #WellsFargoChamp 4 pts win R McIllroy 9/2 1.5pts e/w H Matsuyama 25/1 1pt e/w K Chappell 50/1 Preview available by email,1,positive,kevin chappell,positive
161,31:24.8,Selections for the #WellsFargoChamp 4 pts win R McIllroy 9/2 1.5pts e/w H Matsuyama 25/1 1pt e/w K Chappell 50/1 Preview available by email,1,neutral,rory mcilroy,positive
162,35:19.0,Going with @PRodgersGolf at 84/1 in the #WellsFargoChamp. Rodgers has the power for Quail Hollow where he was second on debut last year,1,neutral,patrick rodgers,positive
163,16:58.4,Gone with @dlingmerth at 100/1 in the @THEPLAYERSChamp. Has form at Pete Dye courses and was second on his debut at Sawgrass in 2013,1,positive,david lingmerth,positive
164,45:43.8,Backed @Chris_Kirk_ at 100/1 in the #PlayersChamp. Kirk is running back into form again and has improving record at Sawgrass. 13th last year,1,positive,chris kirk,positive
165,58:53.5,Jason Day shot 81 in the 2nd round here last year. Ouch.,111,neutral,jason day,negative
166,35:41.9,Player with the most top-10s on Pete Dye-designed courses on #PGATour over last 10 years: @LukeDonald with 11.,1,positive,luke donald,positive
167,43:06.2,"Is this one of the few weeks of the year, considering Spieth's play and his MC last year, that he could be a savory ""buy low"" pick?",1,positive,jordan spieth,positive
168,21:56.1,"Since 2003, Marc Leishman is the GIR leader at the 17th hole, 20 attempts (min 8 attempts)",11,neutral,marc leishman,neutral
169,22:54.6,Sergio has the longest consecutive cut streak at The Players - 12,1,positive,sergio garcia,positive
170,28:18.1,Grace (45/1) Z. Johnson (66/1) and Knox (90/1) ew 7 places 1/4 for the player's. Maybe Mcilroy if windsor goes well tonight .,1,positive,zach johnson,positive
171,28:18.1,Grace (45/1) Z. Johnson (66/1) and Knox (90/1) ew 7 places 1/4 for the player's. Maybe Mcilroy if windsor goes well tonight .,1,positive,russell knox,positive
172,28:18.1,Grace (45/1) Z. Johnson (66/1) and Knox (90/1) ew 7 places 1/4 for the player's. Maybe Mcilroy if windsor goes well tonight .,1,positive,branden grace,positive
173,29:40.1,@gfienberg17 Matthew Fitzpatrick at 151-1 caught my eye.,1,positive,matthew fitzpatrick,positive
174,01:53.5,DJ and Bubba have made a combined 15 starts at The Players - their best finish is T34.,111,negative,dustin johnson,negative
175,01:53.5,DJ and Bubba have made a combined 15 starts at The Players - their best finish is T34.,111,negative,bubba watson,negative
176,13:58.5,"Russell Knox 100/1 - 25th or better in Driving Acc, Scrambling, P4 Scoring, Proximity &amp; Bogey Avoidance. T2 last time out at Harbour Town.",1,positive,russell knox,positive
177,36:15.6,Amazed to see Donald at 140 for #PlayersChamp . Specialist in Dye courses. Should be nearer 95,1,positive,luke donald,positive
178,28:25.8,The Players is the only PGA Tour event Dustin Johnson has played more than 4 times &amp; never recorded a top-25 finish.,111,neutral,dustin johnson,negative
179,42:34.1,"No truer test to see if Spieth really ""laughs Augusta off"" than to see him on 17 tee with a 1 shot lead Sunday afternoon. #PLAYERS",11,neutral,jordan spieth,neutral
